Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2007-02-01,00:00:00,326,128,243150,1400,0,0,0
2007-02-01,00:01:00,326,130,243320,1400,0,0,0
2007-02-01,00:02:00,324,132,243510,1400,0,0,0
2007-02-01,00:03:00,324,134,243900,1400,0,0,0
2007-02-01,00:04:00,322,130,243160,1400,0,0,0
2007-02-01,00:05:00,320,126,242290,1400,0,0,0
2007-02-01,00:06:00,320,126,242460,1400,0,0,0
2007-02-01,00:07:00,320,126,242630,1400,0,0,0
2007-02-01,00:08:00,320,128,242700,1400,0,0,0
2007-02-01,00:09:00,236,0,242890,1e3,0,0,0
2007-02-01,00:10:00,226,0,243e3,1e3,0,0,0
2007-02-01,00:11:00,224,0,242500,1e3,0,0,0
2007-02-01,00:12:00,224,0,242180,1e3,0,0,0
2007-02-01,00:13:00,224,0,242150,1e3,0,0,0
2007-02-01,00:14:00,224,0,242730,1e3,0,0,0
2007-02-01,00:15:00,260,0,242850,1200,0,0,0
2007-02-01,00:16:00,304,96,242890,1200,0,0,0
2007-02-01,00:17:00,302,96,242870,1200,0,0,0
2007-02-01,00:18:00,302,94,242190,1200,0,0,0
2007-02-01,00:19:00,300,94,242230,1200,0,0,0
2007-02-01,00:20:00,300,94,242160,1200,0,0,0
2007-02-01,00:21:00,298,94,242290,1200,0,0,0
2007-02-01,00:22:00,298,94,242470,1200,0,0,0
2007-02-01,00:23:00,296,94,242320,1200,0,0,0
2007-02-01,00:24:00,296,96,242980,1200,0,0,0
2007-02-01,00:25:00,298,100,243650,1200,0,0,0
2007-02-01,00:26:00,228,0,243550,1e3,0,0,0
2007-02-01,00:27:00,226,0,243110,1e3,0,0,0
2007-02-01,00:28:00,226,0,243090,1e3,0,0,0
2007-02-01,00:29:00,226,0,243050,1e3,0,0,0
2007-02-01,00:30:00,226,0,243220,1e3,0,0,0
2007-02-01,00:31:00,226,0,243370,1e3,0,0,0
2007-02-01,00:32:00,226,0,243140,1e3,0,0,0
2007-02-01,00:33:00,226,0,243120,1e3,0,0,0
2007-02-01,00:34:00,322,94,242740,1400,0,0,0
2007-02-01,00:35:00,336,126,242590,1400,0,0,0
2007-02-01,00:36:00,332,126,242910,1400,0,0,0
2007-02-01,00:37:00,332,130,243510,1400,0,0,0
2007-02-01,00:38:00,330,130,243650,1400,0,0,0
2007-02-01,00:39:00,328,128,243370,1400,0,0,0
2007-02-01,00:40:00,328,130,243790,1400,0,0,0
2007-02-01,00:41:00,326,128,243230,1400,0,0,0
2007-02-01,00:42:00,324,126,242980,1400,0,0,0
2007-02-01,00:43:00,322,126,242950,1400,0,0,0
2007-02-01,00:44:00,322,124,242600,1400,0,0,0
2007-02-01,00:45:00,322,128,243330,1400,0,0,0
2007-02-01,00:46:00,318,118,241320,1400,0,0,0
2007-02-01,00:47:00,316,116,240930,1400,0,0,0
2007-02-01,00:48:00,316,116,240930,1400,0,0,0
2007-02-01,00:49:00,274,58,240360,1200,0,0,0
2007-02-01,00:50:00,222,0,240930,1e3,0,0,0
2007-02-01,00:51:00,222,0,240830,1e3,0,0,0
2007-02-01,00:52:00,222,0,240520,1e3,0,0,0
2007-02-01,00:53:00,224,0,241450,1e3,0,0,0
2007-02-01,00:54:00,224,0,241590,1e3,0,0,0
2007-02-01,00:55:00,226,0,242550,1e3,0,0,0
2007-02-01,00:56:00,226,0,242880,1e3,0,0,0
2007-02-01,00:57:00,226,0,242630,1e3,0,0,0
2007-02-01,00:58:00,224,0,242200,1e3,0,0,0
2007-02-01,00:59:00,224,0,241840,1e3,0,0,0
2007-02-01,01:00:00,222,0,240890,1e3,0,0,0
2007-02-01,01:01:00,222,0,240860,1e3,0,0,0
2007-02-01,01:02:00,260,0,240640,1200,0,0,0
2007-02-01,01:03:00,298,88,240720,1200,0,0,0
2007-02-01,01:04:00,302,94,242180,1200,0,0,0
